kategori;orijinal_pdf_yolu;hedef_txt_yolu;sayfa_sayisi;karakter_sayisi
tip;data\raw\tip\t39.pdf;data\processed\stage1_extracted\tip\t39.txt;4;14214
tip;data\raw\tip\t40.pdf;data\processed\stage1_extracted\tip\t40.txt;5;22271
tip;data\raw\tip\t41.pdf;data\processed\stage1_extracted\tip\t41.txt;6;26078
tip;data\raw\tip\t42.pdf;data\processed\stage1_extracted\tip\t42.txt;12;48962
tip;data\raw\tip\t43.pdf;data\processed\stage1_extracted\tip\t43.txt;8;24789
tip;data\raw\tip\t44.pdf;data\processed\stage1_extracted\tip\t44.txt;8;27876
tip;data\raw\tip\t45.pdf;data\processed\stage1_extracted\tip\t45.txt;5;24257
tip;data\raw\tip\t46.pdf;data\processed\stage1_extracted\tip\t46.txt;11;55599
tip;data\raw\tip\t47.pdf;data\processed\stage1_extracted\tip\t47.txt;5;19985
tip;data\raw\tip\t48.pdf;data\processed\stage1_extracted\tip\t48.txt;10;25743
tip;data\raw\tip\t49.pdf;data\processed\stage1_extracted\tip\t49.txt;5;24513
tip;data\raw\tip\t50.pdf;data\processed\stage1_extracted\tip\t50.txt;8;24882
